,price
0,2756.4812
1,5693.6255
2,9407.751
3,4097.28
4,1608.5135
5,6084.917
6,4666.4434
7,4206.9956
8,5116.1494
9,15541.67
10,4202.319
11,824.311
12,3061.746
13,1706.8348
14,2457.1135
15,1182.049
16,1535.2303
17,4067.5168
18,3892.4714
19,886.4728
20,2095.477
21,5080.535
22,4198.284
23,605.17236
24,17274.69
25,1188.6831
26,661.0089
27,987.43726
28,1663.995
29,940.9866
30,9441.323
31,621.1386
32,4182.85
33,721.7517
34,763.47833
35,2446.4575
36,6773.572
37,2702.4324
38,2812.5195
39,702.47644
40,514.5336
41,9108.196
42,875.9917
43,1810.9136
44,9762.89
45,2475.8718
46,988.22925
47,848.1483
48,1217.0442
49,2944.706
50,639.2902
51,4487.902
52,2876.8215
53,7821.775
54,5209.7715
55,2328.2192
56,8895.861
57,2379.491
58,4536.433
59,2623.3667
60,1167.941
61,497.60205
62,7190.1626
63,1200.579
64,8677.8545
65,17271.836
66,936.1076
67,11816.082
68,5832.3223
69,9629.958
70,412.18237
71,687.3771
72,825.5759
73,1411.3784
74,5256.5693
75,1922.3387
76,8758.189
77,13936.392
78,2846.9368
79,6408.1694
80,10661.422
81,2135.975
82,14828.151
83,6543.8276
84,903.7927
85,7629.395
86,1021.9961
87,12398.436
88,8514.327
89,14593.16
90,5258.199
91,1373.6523
92,944.44586
93,867.34265
94,17258.709
95,434.4899
96,14334.371
97,14558.254
98,12842.495
99,735.64856
100,2620.143
101,797.9617
102,686.0552
103,432.39267
104,1005.16864
105,1722.1855
106,1424.6925
107,784.02795
108,1045.1755
109,710.939
110,574.5246
111,1046.8298
112,1767.3455
113,1644.9335
114,1390.3331
115,5109.1675
116,5028.0063
117,15525.156
118,543.6724
119,16229.0625
120,2141.3113
121,1628.5927
122,1026.8368
123,562.86536
124,709.2921
125,1485.9373
126,1123.1729
127,12368.393
128,5286.805
129,5188.464
130,6512.4824
131,2898.944
132,6994.1377
133,1034.2095
134,3550.862
135,1042.1162
136,615.91016
137,6705.5034
138,527.88
139,4445.3643
140,850.3608
141,876.3881
142,3511.0237
143,4919.7246
144,744.62756
145,6080.455
146,15546.671
147,5237.784
148,2707.6472
149,1771.3882
150,2065.356
151,1715.1176
152,12353.467
153,2891.3848
154,613.1439
155,14721.639
156,2843.3765
157,2918.84
158,3667.6562
159,874.3468
160,8017.296
161,9796.837
162,670.38983
163,666.37054
164,5384.2554
165,11222.552
166,3225.248
167,4730.414
168,3120.3152
169,11168.204
170,743.1068
171,1596.9467
